nombre,mascota,especie,tipo_atencion,currency
Lev Ramos,ligula,2,18,710.40
Savannah Guerra,eleifend,10,3,916.03
Bruno Duffy,feugiat.,10,2,608.06
Herman Owens,sed,5,6,150.50
Branden Gomez,egestas,5,9,233.01
Elton Chandler,massa.,6,13,402.98
Kameko Jimenez,parturient,8,15,305.53
Aretha Hunt,Suspendisse,1,10,831.79
Hollee Jefferson,nec,5,0,709.96
Moana Brown,at,1,13,313.67
Astra Reyes,ligula.,5,16,495.02
Ella Navarro,Vestibulum,3,9,446.32
Cassandra Mccray,Nullam,10,17,911.38
Tatiana Barron,urna,2,8,616.19
Idola Dotson,mi,6,2,801.90
Fay Neal,urna,10,15,201.42
Odette Mcintyre,mauris,6,12,995.21
Carson Cannon,scelerisque,6,18,810.48
Meredith Park,adipiscing,7,7,875.35
Ifeoma Haney,non,4,8,648.59
Noble Elliott,sem,7,6,253.70
Ryan Bonner,semper,5,17,308.26
Ebony Allen,nunc,2,15,652.62
Yuri Adkins,enim,5,10,288.39
Marshall Holmes,metus,9,16,936.83
Drew Morse,sed,2,14,838.13
Yardley Cervantes,ridiculus,4,18,966.42
Juliet Patterson,tom,3,15,589.99
Daria Roach,dictum,3,2,339.00
Maya Sandoval,Lorem,9,19,225.29
Cole Rice,aliquet,3,17,344.65
Troy Todd,eget,10,14,907.15
Chandler Rowland,Etiam,7,3,475.54
Alyssa Peters,risus.,3,10,216.70
Reed Calhoun,Vivamus,8,2,252.17
Channing Avery,nona,7,4,155.40
Imani Weaver,egestas.,5,5,973.84
Acton Branch,Quisque,3,1,500.05
Hollee Erickson,Aliquam,3,14,659.23
Althea Burke,metusa,1,16,482.21
Sade Hendrix,enim,7,5,906.17
Sara Taylor,ornare,7,6,552.03
Brenda Conrad,ultricies,2,15,975.52
Aladdin Franks,varius,4,2,691.79
Lionel Hopper,Phasellus,8,10,795.79
Shana Booker,aliquet,4,16,131.63
Maxwell Strong,feugiat,2,11,693.78
Catherine Chan,semper,1,5,286.94
Lara Browning,vela,9,10,948.78
Jael O'Neill,Donec,8,18,430.48
Fiona Frye,molestie,3,3,282.93
Lillith Strong,erat,6,6,228.36
Ori Mason,sit,10,4,852.54
Paul Contreras,ultrices,7,4,801.58
Micah Mcmillan,vitae,9,6,325.58
Adena Morin,eget,7,16,372.86
Tatiana Vaughan,Suspendisse,4,1,329.15
Keegan Nixon,ipsum,9,7,165.72
Hasad Finch,Maecenas,8,5,540.30
Phillip Ingram,lectus,4,4,631.91
